industria|industria_es|industria_agrupada
 Buyer|Comprador|
 Veterinary medicine|Medicina veterinaria|
"""Government Relations"" (Lobbying) "|Relaciones Gubernamentales (Cabildeo)|
Academia|Academia|
Academia |Academia|
Academia - STEM|Academia - STEM|
Academia / Research|Academia / Investigación|
Academia--cell and molecular biology|Academia: biología celular y molecular|
Academic Medicine |Medicina Académica|
Academic Press Production|Producción de Prensa Académica|
Academic publishing|Publicaciones académicas|
Academic publishing |Publicaciones académicas|
Academic research|Investigación académica|
Academic research (Psychology)|Investigación académica (Psicología)|
Academic research (social science)|Investigación académica (ciencias sociales)|
Academic science|Ciencia académica|
Academic Science |Ciencia Académica|
Academic Scientific Research|Investigación Científica Académica|
Academic/nonprofit research|Investigación académica/sin fines de lucro|
accessibility|accesibilidad|
Accounting, Banking & Finance|Contabilidad, Banca y Finanzas|
Actuarial|Actuarial|
Administration|Administración|
Administration |Administración|
Administration (food service)|Administración (servicio de alimentos)|
Administration in MLM|Administración en MLM|
Administration, IT|Administración, TI|
Administrative |Administrativo|
Administrative Support|Apoyo Administrativo|
Administrative Work|Trabajo Administrativo|
Adult education|Educación de adultos|
Aerospace|Aeroespacial|
Aerospace |Aeroespacial|
Aerospace & Defense|Aeroespacial y Defensa|
Aerospace and Defense|Aeroespacial y Defensa|
Aerospace and Defense Manufacturing|Fabricación aeroespacial y de defensa|
Aerospace and Defense/Government Contracting|Aeroespacial y Defensa/Contratación Gubernamental|
Aerospace contracting|Contratación aeroespacial|
aerospace data|Datos aeroespaciales|
Aerospace Manufacturing|Fabricación aeroespacial|
Aerospace/aviation|Aeroespacial/aviación|
Aerospace/Aviation |Aeroespacial/Aviación|
Aerospace/Defense|Aeroespacial/Defensa|
Affordable Housing Real Estate Development (nonprofit)|Desarrollo Inmobiliario de Viviendas Asequibles (sin fines de lucro)|
Agriculture or Forestry|Agricultura o silvicultura|
Agriculture/Agriculture Chemical |Agricultura/Agroquímica|
Airline|Línea aérea|
AmeriCorps|AmeriCorps|
Analytical Chemistry|Química analítica|
Analytical lab|Laboratorio analítico|
Analytics|Analítica|
Animal Care|Cuidado de los animales|
Animal Caretaker|Cuidador de animales|
Animal Health|Sanidad animal|
Animal health industry|Industria de la salud animal|
Animal Health Product Manufacturing|Fabricación de productos para la salud animal|
Animal welfare|Bienestar animal|
Animation|Animación|
Apparel|Atavío|
Apparel |Atavío|
apparel design/product development |Diseño de indumentaria/desarrollo de productos|
Apparel manufacture|Fabricación de prendas de vestir|
Archaeologist|Arqueólogo|
Archaeology|Arqueología|
Archaeology / Cultural Resource Management|Arqueología / Gestión de Recursos Culturales|
Archaeology/Cultural Resource Manager|Gerente de Arqueología/Recursos Culturales|
Architect|Arquitecto|
Architect |Arquitecto|
Architectural/Land Planning/Civil Engineering|Arquitectura/Planificación Territorial/Ingeniería Civil|
Architecture|Arquitectura|
Architecture |Arquitectura|
Architecture & Construction|Arquitectura y Construcción|
Architecture / Engineering|Arquitectura / Ingeniería|
Architecture and engineering consulting and design |Consultoría y diseño de arquitectura e ingeniería|
Architecture, Engineering, Construction|Arquitectura, Ingeniería, Construcción|
Architecture/Construction|Arquitectura/Construcción|
Archives|Archivo|
Archives |Archivo|
Archives/Libraries|Archivos/Bibliotecas|
Archives/Library Science|Archivos/Bibliotecología|
Art & Design|Arte & Diseño|
art appraisal|Tasación de obras de arte|
Arts Administration |Administración de las Artes|
Arts, Culture and Heritage|Arte, Cultura y Patrimonio|
Association|Asociación|
association management|Gestión de asociaciones|
Association Management |Gestión de Asociaciones|
Auction House|Casa de subastas|
Auto Mfg.|Auto Mfg.|
auto repair|Reparación de automóviles|
Automotive|Automotor|
Automotive |Automotor|
Automotive finance and insurance|Finanzas y seguros automotrices|
Automotive repair|Reparación de automóviles|
Automotive technician|Técnico automotriz|
Automtive Repair|Reparación automática|
Aviation|Aviación|
awards and engraving|Premios y grabado|
B2B Services |Servicios B2B|
Background Screening|Verificación de antecedentes|
Beauty|Belleza|
Beauty /CPG |Belleza /CPG|
Beauty Manufacturing & Education |Belleza, Manufactura y Educación|
Beauty, Cosmetics, Fragrance|Belleza, Cosméticos, Fragancias|
Beauty/service industry |Industria de la belleza y los servicios|
Beer sales|Venta de cerveza|
Behavior analysis/mental health|Análisis de la conducta/salud mental|
Behavioral Health|Salud conductual|
Benefits Administration|Administración de Beneficios|
Beverage|Bebida|
Beverage & Spirits|Bebidas y licores|
Beverage Distribution|Distribución de bebidas|
Beverage Production|Producción de bebidas|
Big Pharma|Grandes farmacéuticas|
Bio tech|Biotecnología|
Bioinformatics |Bioinformática|
biological research|Investigación Biológica|
Biological Sciences|Ciencias Biológicas|
Biologist|Biólogo|
Biology|Biología|
Biology/Research|Biología/Investigación|
Biomedical Research|Investigación Biomédica|
Biopharma|Biofarmacia|
Biopharmaceuticals|Productos biofarmacéuticos|
Bioscience Company|Empresa de Biociencia|
Biotech|Biotecnología|
Biotech |Biotecnología|
Biotech (R&D) |Biotecnología (I&D)|
Biotech / life sciences |Biotecnología / ciencias de la vida|
Biotech / Pharmaceutical Industry|Industria Biotecnológica / Farmacéutica|
Biotech / Research|Biotecnología / Investigación|
Biotech industry|Industria biotecnológica|
Biotech manufacturing|Fabricación de biotecnología|
Biotech pharmaceuticals|Productos farmacéuticos biotecnológicos|
Biotech R&D|Investigación y desarrollo en biotecnología|
Biotech Research|Investigación en biotecnología|
Biotech research |Investigación en biotecnología|
Biotech/Drug Development|Biotecnología/Desarrollo de Medicamentos|
Biotech/Food Safety|Biotecnología/Seguridad Alimentaria|
Biotech/Pharma|Biotecnología/Farmacéutica|
Biotech/Pharmaceuticals|Biotecnología/Productos farmacéuticos|
Biotech/pharmaceuticals |Biotecnología/farmacéutica|
Biotech/software|Biotecnología/software|
Biotechnology|Biotecnología|
Biotechnology |Biotecnología|
Biotechnology, Research and Development|Biotecnología, Investigación y Desarrollo|
Biotechnology/Life Sciences|Biotecnología/Ciencias de la Vida|
Bitech|Bitech|
Book publishing|Edición de libros|
Brain research |Investigación del cerebro|
Brewing|Cerveza|
Business or Consulting|Negocios o Consultoría|
Business Process Outsourcing|Externalización de Procesos de Negocio|
Business Process Outsourcing |Externalización de Procesos de Negocio|
Business Services|Servicios Empresariales|
CALL CENTER|CENTRO DE LLAMADAS|
Cancer research, not for profit|Investigación sobre el cáncer, sin fines de lucro|
Cannabis|Cannabis|
Cannabis compliance|Cumplimiento de la normativa sobre el cannabis|
Career & Technical Training|Carrera y Formación Técnica|
Caregiver|Cuidador|
CBD Manufacturing|Fabricación de CBD|
Chaplain|Capellán|
Charity|Caridad|
Chemical|Químico|
Chemical Manufacturing|Fabricación de productos químicos|
Chemicals |Productos químicos|
Chemicals/ Materials|Productos químicos / Materiales|
Chemistry|Química|
Child and Yout Care|Cuidado de los niños y de los niños|
Child care|Cuidado de niños|
Child Care Resource and Referral Agency|Agencia de Recursos y Referencias para el Cuidado de Niños|
Childcare|Cuidado de niños|
childcare |Cuidado de niños|
Childcare (0-5 so does not come under Primary education)|Cuidado de niños (0-5 años, por lo que no se incluye en la educación primaria)|
Children's Book Wholesale|Venta al por mayor de libros infantiles|
Church|Iglesia|
Church ministry|Ministerio eclesiástico|
Clean Energy (eg. energy efficiency, renewables, etc.)|Energía limpia (por ejemplo, eficiencia energética, energías renovables, etc.)|
Cleaning|Limpieza|
Clergy|Clero|
Clinical & Translational Reserach|Investigación Clínica y Traslacional|
clinical research|Investigación clínica|
Clinical Research |Investigación Clínica|
Clinical research and development |Investigación y desarrollo clínico|
Clinical Research Manager - academic institution|Gerente de Investigación Clínica - institución académica|
Clinical trials|Ensayos clínicos|
clinical trials research coordination|Coordinación de la investigación en ensayos clínicos|
coaching|coaching|
Coffee - Importing|Café - Importación|
College Athletics|Atletismo universitario|
Commercial Building Material Distribution|Distribución de materiales de construcción comercial|
Commercial Fisherman|Pescador comercial|
Commercial furniture|Mobiliario comercial|
Commercial Landscaping |Paisajismo Comercial|
Commercial Real Estate|Bienes Raíces Comerciales|
Commercial Real Estate |Bienes Raíces Comerciales|
Commercial Real Estate - Private Equity|Bienes Raíces Comerciales - Capital Privado|
Commercial Real Estate Data and Analytics/Research|Datos y análisis/investigación de bienes raíces comerciales|
Commercial real estate tenancy|Arrendamiento de bienes raíces comerciales|
commodities trading|Comercio de materias primas|
Communication Research|Investigación en Comunicación|
Communications|Comunicaciones|
Communications |Comunicaciones|
Communications/publications|Comunicaciones/publicaciones|
Community Foundation|Fundación Comunitaria|
Community Management|Gestión de la comunidad|
Compliance|Conformidad|
Compliance |Conformidad|
Computing or Tech|Informática o tecnología|
Computing/Tech + Higher Ed + Nonprofit|Computación/Tecnología + Educación Superior + Sin fines de lucro|
Concrete|Hormigón|
Concrete Construction|Construcción de hormigón|
Conservation|Conservación|
Construction|Construcción|
Construction |Construcción|
Construction / Stone industry|Construcción / Industria de la piedra|
Construction Management|Gestión de la Construcción|
Construction, HVAC |Construcción, HVAC|
Construction, mining, manufacturing|Construcción, minería, manufactura|
Consultant|Consultor|
Consulting|Consultoría|
Consulting |Consultoría|
Consulting / Professional Services|Consultoría / Servicios Profesionales|
Consulting Operations- Big 4|Operaciones de Consultoría - Big 4|
Consumer food products |Productos alimenticios de consumo|
Consumer Good (Toys)|Bienes de consumo (juguetes)|
Consumer Goods|Bienes de consumo|
Consumer Goods Production|Producción de bienes de consumo|
Consumer packaged goods|Bienes de consumo envasados|
Consumer packaged goods |Bienes de consumo envasados|
consumer product design|Diseño de productos de consumo|
Consumer Product Goods|Bienes de consumo|
Consumer Product Organization |Organización de Productos de Consumo|
consumer products|Productos de consumo|
Consumer Products design |Diseño de productos de consumo|
Consumer Research|Investigación de consumidores|
Consumer/Packaged Goods|Bienes de Consumo/Empaquetados|
Contact Center|Centro de contacto|
Content Review - Copyright/DMCA|Revisión de contenido - Derechos de autor/DMCA|
Contract Research|Investigación por contrato|
Contract research organisation|Organización de investigación por contrato|
Corporate accounting in death care (funeral & cemetery)|Contabilidad corporativa en el cuidado de fallecimientos (funerales y cementerios)|
Corporate Learning and Development|Aprendizaje y Desarrollo Corporativo|
Corporate service management|Gestión de servicios corporativos|
Corporate sustainability |Sostenibilidad corporativa|
Corporate Training|Capacitación Corporativa|
Corporate Travel Industry|Industria de viajes corporativos|
Cosmetology |Cosmetología|
Costruction admin|Administrador de costruction|
Counseling|Asesoramiento|
Counselling|Asesoramiento|
CPG|Bienes de consumo envasados|
CPG / Retail|CPG / Venta al por menor|
Craft Beer Industry |Industria de la Cerveza Artesanal|
cultural (museums/galleries)|culturales (museos/galerías)|
Cultural Heritage|Patrimonio cultural|
Cultural Resource Management|Gestión de Recursos Culturales|
Cultural Resources Management/Major Univ.|Gestión de Recursos Culturales/Especialidad Univ.|
Culture|Cultura|
Customer Service|Servicio al cliente|
Customer service |Servicio al cliente|
Customer service/call center|Servicio al cliente/centro de llamadas|
Customer service/publishing-adjacent |Servicio de atención al cliente/publicación adyacente|
Data Analytics|Análisis de datos|
Data Breach|Violación de datos|
Data Entry|Entrada de datos|
Data/Institutional Research in Higher Education|Datos/Investigación Institucional en Educación Superior|
Database subscription services|Servicios de suscripción a bases de datos|
Daycare for children under 5 years old|Guardería para niños menores de 5 años|
Defense|Defensa|
Defense |Defensa|
Defense contracting|Contratación de defensa|
Defense Contractor|Contratista de Defensa|
Delivery and installation for commercial machinery|Entrega e instalación de maquinaria comercial|
Diagnostic Medical Devices|Dispositivos médicos de diagnóstico|
Digital|Digital|
digital commerce / ecommerce|Comercio digital / ecommerce|
Digital Marketing|Digital Marketing|
digital marketing within a book publishing company (please reclassify as you see fit)|marketing digital dentro de una editorial de libros (por favor, reclasifique como mejor le parezca)|
Direct support  professional  in a group  home|Profesional de apoyo directo en un hogar grupal|
Disability services |Servicios para discapacitados|
Distribution|Distribución|
Diversity, Equity & Inclusion |Diversidad, equidad e inclusión|
DoD Contracting|Contratación del Departamento de Defensa|
Drug development |Desarrollo de fármacos|
E commerce |Comercio electrónico|
Eap|Eap|
Early Childhood Education|Educación Infantil|
Early childhood education (preschool)|Educación de la primera infancia (preescolar)|
Early Education|Educación Temprana|
Early Education (corporate office)|Educación Temprana (oficina corporativa)|
Earth sciences|Ciencias de la tierra|
Ecology |Ecología|
e-comm|e-COMM|
Ecommerce|Comercio electrónico|
E-commerce|Comercio electrónico|
ECommerce |Comercio electrónico|
E-commerce |Comercio electrónico|
Ecommerce - Technology|Ecommerce - Tecnología|
Ecommerce fraud|Fraude en el comercio electrónico|
economics|economía|
Ed Tech|Tecnología educativa|
Editor in educational publishing|Editora en publicaciones educativas|
Edtech|Tecnología educativa|
Educ tech|Educ tech|
Education (Early Childhood Education)|Educación (Educación Infantil)|
Education (early childhood)|Educación (primera infancia)|
Education (Higher Education)|Educación (Educación Superior)|
Education (Other)|Educación (Otros)|
Education (Primary/Secondary)|Educación (Primaria/Secundaria)|
Education Consulting|Consultoría Educativa|
Education- museum/public outreach |Educación: museo/divulgación pública|
Education Publishing |Publicaciones Educativas|
Education research- mix of Edtech and non profits|Investigación educativa: combinación de tecnología educativa y organizaciones sin fines de lucro|
Education service provider|Proveedor de servicios educativos|
Education services (tutoring)|Servicios educativos (tutoría)|
Education start-up|Puesta en marcha de la educación|
education writing|Escritura educativa|
Education/vocational|Educación/formación profesional|
Education: preschool |Educación: preescolar|
Educational assessment|Evaluación educativa|
Educational products|Productos educativos|
educational publishing|Publicaciones educativas|
Educational publishing / ed tech|Publicaciones educativas / tecnología educativa|
Educational Research|Investigación educativa|
Educational technology|Tecnología educativa|
Educational Technology - hybrid between book publishing and technology really|Tecnología educativa: híbrido entre la publicación de libros y la tecnología|
e-learning|e-learning|
Emergency Management|Manejo de Emergencias|
Energy|Energía|
Energy - Oil and Gas|Energía - Petróleo y Gas|
Energy (oil & gas & associated products, renewable power, etc)|Energía (petróleo y gas y productos asociados, energía renovable, etc.)|
Energy (Oil & Gas)|Energía (Petróleo y Gas)|
Energy / renewables|Energía / Renovables|
Energy Sector: Oil & Gas|Sector Energético: Petróleo y Gas|
Energy Supplier|Proveedor de energía|
Energy, Oil & Gas|Energía, Petróleo y Gas|
Energy, Oil and Gas|Energía, petróleo y gas|
Energy/oil|Energía/petróleo|
Energy: oil & gas|Energía: petróleo y gas|
Engineering - Mining|Ingeniería - Minería|
Engineering and Environmental Consulting|Ingeniería y Consultoría Ambiental|
Engineering or Manufacturing|Ingeniería o Manufactura|
Entertainment|Diversión|
Entertainment data|Datos de entretenimiento|
Entrepreneur high net worth |Emprendedor de alto patrimonio neto|
Env. Consulting|Env. Consultoría|
Enviromental |Medio ambiente|
Environment|Medio ambiente|
Environment - Oil and Gas|Medio ambiente - Petróleo y gas|
Environment and sustainability|Medio ambiente y sostenibilidad|
Environment, health, and safety|Medio ambiente, salud y seguridad|
Environmental|Medioambiental|
Environmental |Medioambiental|
Environmental compliance|Cumplimiento ambiental|
environmental compliance |Cumplimiento ambiental|
environmental compliance/engineering|Cumplimiento Ambiental/Ingeniería|
Environmental Consultanting|Consultoría Ambiental|
Environmental Consulting|Consultoría Ambiental|
Environmental Consulting |Consultoría Ambiental|
Environmental Health + Pest Control|Salud Ambiental + Control de Plagas|
environmental health and safety|Salud y seguridad ambiental|
Environmental health and safety compliance|Cumplimiento de la normativa en materia de salud y seguridad medioambiental|
Environmental Planning|Planificación Ambiental|
Environmental regulation|Regulación ambiental|
Environmental Restoration|Restauración Ambiental|
Environmental Science|Ciencias Ambientales|
Environmental science |Ciencias ambientales|
Environmental sciences|Ciencias ambientales|
Environmental Services|Servicios Ambientales|
Environmental survey|Estudio ambiental|
Environmental/Cultural Resource Management|Gestión de Recursos Ambientales/Culturales|
Environmnetal |Medio Ambiente|
ESL Teacher|Profesor de ESL|
Executive Leadership Servis|Servicios de Liderazgo Ejecutivo|
Executive Search|Búsqueda de Ejecutivos|
facilities|Instalaciones|
Facilities |Instalaciones|
Faith/spirituality|Fe/espiritualidad|
Family Office|Oficina Familiar|
Family office |Familyoffice|
Fashion|Moda|
Fashion/e-commerce |Moda/e-commerce|
Fast casual restaurant |Restaurante de comida rápida y casual|
Fast Food|Comida rápida|
Federal Contracting/Business Development|Contratación Federal/Desarrollo de Negocios|
Federal Government Contracting|Contrataciones del Gobierno Federal|
Film Post-Production|Postproducción de películas|
Finance|Finanzas|
Finance |Finanzas|
Finance/Investment Management but in legal/compliance, so back-office|Finanzas/Gestión de Inversiones, pero en legal/cumplimiento, por lo que back-office|
Fintech|Fintech|
FinTech/Payment Processing|FinTech/Procesamiento de pagos|
Fire protection|Protección contra incendios|
Fitness|Aptitud|
Fitness & Entertainment|Fitness & Entretenimiento|
FMCG|FMCG|
FMCG development |Desarrollo de bienes de consumo masivo|
Food|Víveres|
Food & Beverage|Alimentos y bebidas|
Food & Beverage production|Producción de alimentos y bebidas|
Food & Beverages|Alimentos y bebidas|
Food & Nutrition|Alimentación y Nutrición|
Food and Beverage|Alimentos y bebidas|
Food and Beverage |Alimentos y bebidas|
Food and Drink |Comida y bebida|
Food and Flavor|Comida y sabor|
Food demos|Demostraciones de comida|
Food Distribution|Distribución de alimentos|
Food Industry|Industria alimentaria|
Food industry |Industria alimentaria|
Food Manufacture|Fabricación de alimentos|
Food manufacturers |Fabricantes de alimentos|
Food manufacturing|Fabricación de alimentos|
Food manufacturing |Fabricación de alimentos|
Food processing|Procesamiento de alimentos|
Food processing and packaging|Procesamiento y envasado de alimentos|
Food production|Producción alimentaria|
Food Production/Processing|Producción/Procesamiento de Alimentos|
Food Service|Servicio de Alimentos|
Food Service |Servicio de Alimentos|
Food Service --- Baking|Servicio de alimentos --- repostería|
Food/Beverage Manufacturing- Quality/Laboratory|Fabricación de Alimentos/Bebidas- Calidad/Laboratorio|
Food/Quick Service Restaurant (QSR)|Comida/Restaurante de servicio rápido (QSR)|
Foodservice|Servicio de alimentos|
For profit education|Educación con fines de lucro|
Forensics|Forense|
Forklift operator warehouse|Almacén de operarios de carretillas elevadoras|
Freelance Journalism|Periodismo Freelance|
Freelance/Self-Employed Consultant |Consultor Freelance/Autónomo|
Funding Intermediary |Intermediario de financiación|
Fundraising|Recaudación|
Fundraising |Recaudación|
Fundraising for a university |Recaudación de fondos para una universidad|
Fundraising in Higher Education; nonclinical, nonacademic|Recaudación de fondos en la educación superior; no clínicos, no académicos|
Funeral|Funeral|
Funeral Service |Servicio Funerario|
funeral services|Servicios funerarios|
Gambling|Juego|
Game development|Desarrollo de juegos|
Games development|Desarrollo de juegos|
Gaming|Juego|
Gaming (Gambling)|Juegos de azar (apuestas)|
Gas & Oil|Gas y petróleo|
Geologist|Geólogo|
Geospatial|Geoespacial|
Global Health Consulting|Consultoría de Salud Global|
Global Mobility|Movilidad global|
Government |Gobierno|
Government Affairs/Lobbying|Asuntos Gubernamentales/Cabildeo|
Government and Public Administration|Gobierno y Administración Pública|
Government contract |Contrato con el gobierno|
Government Contracting|Contrataciones Gubernamentales|
Government contracting (data analytics and program evaluations)|Contratación gubernamental (análisis de datos y evaluaciones de programas)|
Government Contracting R&D|Investigación y Desarrollo en Contratación Gubernamental|
Government contractor|Contratista del gobierno|
Government contractor |Contratista del gobierno|
Government Contractor (R&D)|Contratista del Gobierno (R&D)|
government contractor, international development|Contratista del Gobierno, Desarrollo Internacional|
Government Relation|Relaciones Gubernamentales|
Government Relations|Relaciones Gubernamentales|
Government relations |Relaciones gubernamentales|
Government Relations/Lobbying|Relaciones Gubernamentales/Cabildeo|
Government Research|Investigación del Gobierno|
Government- Scientist|Gobierno- Científico|
Govt contractor - not direct govt but they pay my company who in turn pays me|Contratista del gobierno: no es un gobierno directo, pero le pagan a mi empresa, que a su vez me paga a mí.|
Govt contractor - not directly govt but they pay me|Contratista del gobierno, no directamente del gobierno, pero me pagan|
Govtech Software as a Service|Software como servicio de Govtech|
Graduate assistant and also events |Asistente de posgrado y también eventos|
Graduate Student|Estudiante de Posgrado|
Grantwriting Consultants|Consultores de redacción de subvenciones|
Grocery delivery|Entrega de comestibles|
Grocery Distribution|Distribución de comestibles|
Gyms|Gimnasios|
Hardware Manufacturing|Fabricación de herrajes|
Haz/Ind/Rad Waste Management |Gestión de residuos Haz/Ind/Rad|
Health and fitness|Salud y estado físico|
Health and Safety|Salud y seguridad|
Health care|Atención médica|
Health Insurance |Seguro de enfermedad|
Health Research|Investigación en Salud|
Healthcare Information Technology|Tecnología de la información para el cuidado de la salud|
Healthcare IT|TI para el cuidado de la salud|
Healthcare technology |Tecnología sanitaria|
Heritage|Patrimonio|
Heritage |Patrimonio|
Heritage/Public History|Patrimonio/Historia Pública|
High end outdoor furniture manufacturer |Fabricante de muebles de exterior de alta gama|
Higher education fundraising|Recaudación de fondos para la educación superior|
Higher education/Libraries|Educación superior/Bibliotecas|
Historic Preservation|Preservación Histórica|
Homemaker|Ama de casa|
Horticulture|Horticultura|
Horticulture (Admin)|Horticultura (Admin)|
Hospital|Hospital|
Hospitality & Events|Hospitalidad y Eventos|
Household Services|Servicios para el hogar|
Housekeeper/cook|Ama de llaves/cocinera|
HRO|HRO|
Human Capital Management|Gestión del Capital Humano|
Human Resources|Recursos humanos|
Human Resources |Recursos humanos|
Human services|Servicios humanos|
Hybrid Nonprofit Higher Education (we are part of a university but our entire budget comes from grants)|Educación superior híbrida sin fines de lucro (somos parte de una universidad, pero todo nuestro presupuesto proviene de subvenciones)|
I have two jobs. Marketing / Business |Tengo dos trabajos. Mercadotecnia / Negocios|
I work at a property tax management company. Not sure where this fits in. Consulting maybe?|Trabajo en una empresa de gestión de impuestos sobre la propiedad. No estoy seguro de dónde encaja esto. ¿Consultoría tal vez?|
I work for Indeed.com|Trabajo para Indeed.com|
I work in the finance function of a large global conglomerate|Trabajo en la función financiera de un gran conglomerado global|
I'm currently a student and don't have a job|Actualmente soy estudiante y no tengo trabajo|
Immigration|Inmigración|
individual & family services|Servicios Individuales y Familiares|
Industrial Cleaning & Non Hazardous Transport|Limpieza Industrial y Transporte No Peligroso|
Industrial Hygiene|Higiene Industrial|
Industrial Supply|Suministro Industrial|
Information |Información|
Information Management/Archives|Gestión de la Información/Archivos|
Information sciences|Ciencias de la información|
Information services|Servicios de información|
Information services (libraries)|Servicios de información (bibliotecas)|
Information services (library)|Servicios de información (biblioteca)|
Information Services/Libraries|Servicios de Información/Bibliotecas|
Information Technology|Tecnología de la información|
Information Technology |Tecnología de la información|
Information technology (IT)|Tecnología de la información (TI)|
In-House Marketing|Comercialización interna|
Instructional Design and Training|Diseño Instruccional y Capacitación|
Instructional Design, Aviation Industry|Diseño Instruccional, Industria de la Aviación|
Instructional Designer|Diseñador Instruccional|
Insurance|Seguro|
Intelligence|Inteligencia|
Intergovernmental organization|Organización intergubernamental|
Interior Design & Architecture|Diseño de Interiores y Arquitectura|
Interior Design (commercial)|Diseño de interiores (comercial)|
Interior landscaping |Paisajismo interior|
Internal Communications|Comunicaciones Internas|
International defence|Defensa internacional|
International Development|Desarrollo Internacional|
International development |Desarrollo internacional|
International development (multilateral donor)|Desarrollo internacional (donante multilateral)|
International organisations|Organizaciones internacionales|
International organization (UN)|Organización internacional (ONU)|
Internet|Internet|
Interpretation|Interpretación|
Investing|Invertir|
Ipr|Ipr|
IT|ESO|
IT MSP|MSP de TI|
IT Security|Seguridad informática|
It security |Seguridad informática|
