industria|industria_es|industria_agrupada
Janitorial|Limpieza|
Journalism|Periodismo|
Lab Science (Biotech)|Ciencia de laboratorio (biotecnología)|
Labor|Trabajo|
labor union|sindicato|
Laboratory research|Investigación de laboratorio|
labour/professional organization|Organización Laboral/Profesional|
Landed Estate|Finca Inmobiliaria|
Landscape Architecture|Arquitectura del Paisaje|
Landscape Contracting|Contratación de Paisajismo|
Landscaping|Paisajismo|
Landscaping/Tree Work|Paisajismo/Arboricultura|
Language Services|Servicios lingüísticos|
Language Services company, unsure the broad category to use. Our clients are branding agencies, and their clients are frequently (but not always) pharmaceutical companies.|Empresa de servicios lingüísticos, no está seguro de la amplia categoría a utilizar. Nuestros clientes son agencias de branding, y sus clientes son frecuentemente (pero no siempre) empresas farmacéuticas.|
Large University Administration|Gran Administración Universitaria|
Laundry and Rental|Lavandería y alquiler|
Law|Ley|
Law Enforcement & Security|Aplicación de la ley y seguridad|
Law Library|Biblioteca Jurídica|
Learning & Development|Aprendizaje y desarrollo|
Learning and Development|Aprendizaje y desarrollo|
Legal Services|Servicios Legales|
Leisure, Sport & Tourism|Ocio, Deporte y Turismo|
Librarian|Bibliotecario|
Librarian |Bibliotecario|
Librarian and Assistant Manager of a library|Bibliotecario y Subdirector de una biblioteca|
Librarian in legal setting|Bibliotecario en el ámbito jurídico|
librarian--Contractor for NASA|Bibliotecario--Contratista de la NASA|
Libraries|Bibliotecas|
Libraries |Bibliotecas|
Libraries & Archives|Bibliotecas y Archivos|
Libraries (Medical)|Bibliotecas (Médicas)|
Libraries (public)|Bibliotecas (públicas)|
Libraries / Archives / Information|Bibliotecas / Archivos / Información|
Libraries and Archives|Bibliotecas y Archivos|
Libraries and Archives (Academic)|Bibliotecas y Archivos (Académicos)|
Libraries/Archives|Bibliotecas/Archivos|
Libraries/Museums/Archives|Bibliotecas/Museos/Archivos|
Library|Biblioteca|
Library |Biblioteca|
Library (its a non-profit and its a govt job - how would I list that? Not all libraries are govt jobs)|Biblioteca (es una organización sin fines de lucro y es un trabajo del gobierno, ¿cómo enumeraría eso? No todas las bibliotecas son empleos gubernamentales)|
Library (university)|Biblioteca (universidad)|
Library and Information Science|Biblioteconomía y Documentación|
Library and Information Services|Servicios Bibliotecarios y de Información|
Library at a University |Biblioteca en una universidad|
Library Page (Public county library)|Página de la biblioteca (Biblioteca pública del condado)|
Library science / part-time work/study|Bibliotecología / Trabajo/estudio a tiempo parcial|
Library Tech for a school system|Tecnología bibliotecaria para un sistema escolar|
Library/Archive|Biblioteca/Archivo|
Library/Archive/Research Center|Biblioteca/Archivo/Centro de Investigación|
Library/archives|Biblioteca/Archivos|
Library/Information managment|Biblioteca/Gestión de la información|
Library--public|Biblioteca--pública|
Life science capability development|Desarrollo de capacidades en ciencias de la vida|
Life Sciences|Ciencias biológicas|
Life Sciences |Ciencias biológicas|
Life sciences (not in academia)|Ciencias de la vida (no en el mundo académico)|
Literature|Literatura|
Lobbying|Cabildeo|
Lobbying and consulting|Cabildeo y consultoría|
Logistics|Logística|
Low-Voltage Equipment|Equipos de baja tensión|
Luxury Fashion|Moda de lujo|
Maintenance|Mantenimiento|
Management Consulting|Consultoría de Gestión|
Manufacturing|Fabricación|
Manufacturing |Fabricación|
Manufacturing (medical devices)|Fabricación (dispositivos médicos)|
Manufacturing (personal care)|Manufactura (cuidado personal)|
Manufacturing (pharmaceuticals) |Manufactura (productos farmacéuticos)|
Manufacturing : corporate admin support|Fabricación: soporte administrativo corporativo|
Manufacturing and distributing|Fabricación y distribución|
manufacturing security systems|Fabricación de sistemas de seguridad|
Manufacturing, Chemical|Manufactura Química|
Manufacturing/Consumer Packaged Goods|Manufactura/Bienes de Consumo Empaquetados|
Manufacturing/Wholesale|Fabricación/Venta al por mayor|
Maritime|Marítimo|
Market research|Estudio de mercado|
Market Research |Estudio de mercado|
Marketing at a Non Profit|Comercialización en una organización sin fines de lucro|
Marketing technology|Tecnología de marketing|
Marketing, Advertising & PR|Marketing, Publicidad y Relaciones Públicas|
MedComms|MedComms (en inglés)|
Media & Digital|Medios de comunicación y digital|
Medica education|Educación médica|
Medical communications|Comunicaciones médicas|
Medical Device|Dispositivo médico|
Medical Devices|Dispositivos médicos|
Medical Interpreter -(Spanish)|Intérprete Médico -(Español)|
Medical Library |Biblioteca Médica|
Medical research|Investigación médica|
medical research |investigación médica|
Medical Sciences|Ciencias Médicas|
Medical supply Wholesale & Warehousing|Venta al por mayor y almacenamiento de suministros médicos|
Medical Technology|Tecnología Médica|
Medical/Pharmaceutical |Médico/Farmacéutico|
mental health|salud mental|
Mental health |Salud mental|
Mental health therapist|Terapeuta de salud mental|
Military|Militar|
Military |Militar|
Mining|Minería|
Mining |Minería|
Mining & Mineral Processing|Minería y Procesamiento de Minerales|
Mining and natural resources|Minería y recursos naturales|
Mining/Mineral Exploration|Minería/Exploración Minera|
Mining/Resource Extraction|Minería/Extracción de Recursos|
Ministry|Ministerio|
Mortgage|Hipoteca|
Multilateral Organisation |Organización Multilateral|
municipal (public) libraries|Bibliotecas municipales (públicas)|
Municipal Government (Library)|Gobierno Municipal (Biblioteca)|
Municipal library|Biblioteca municipal|
Museum|Museo|
Museum |Museo|
Museum - Nonprofit|Museo - Sin fines de lucro|
Museum (<20 employees)|Museo (<20 empleados)|
Museum (University Affiliated)|Museo (Afiliado a la Universidad)|
Museum education |Educación en museos|
Museum Library|Biblioteca del Museo|
Museums|Museos|
Museums & archives|Museos y archivos|
museums & archives (not sure where this would fall)|Museos y Archivos (no estoy seguro de dónde caería esto)|
Museums: Nonprofit|Museos: Sin fines de lucro|
Music|Música|
Music Licensing|Licencias de música|
music therapy |musicoterapia|
Music, education |Educación musical|
Music: freelance, performing and education|Música: freelance, interpretación y educación|
My company sells & services various types of printers, mostly Kyocera.|Mi empresa vende y da servicio a varios tipos de impresoras, principalmente Kyocera.|
National laboratory|Laboratorio nacional|
Natural resources|Recursos naturales|
Non profit theater|Teatro sin fines de lucro|
Nonprofit - legal department|Organizaciones sin fines de lucro: departamento legal|
Nonprofit - LORT D Theater|Sin fines de lucro - LORT D Theater|
Nonprofit association|Asociación sin ánimo de lucro|
Non-profit health care (I couldn’t select both)|Atención médica sin fines de lucro (no pude seleccionar ambos)|
Nonprofit scholarly society publisher|Editorial de una sociedad académica sin fines de lucro|
Non-profit Theatre|Teatro sin fines de lucro|
Nonprofits|Organizaciones sin fines de lucro|
Not for profit education consultancy|Consultoría educativa sin fines de lucro|
not-for-profit health research consulting|Consultoría de investigación en salud sin fines de lucro|
not-for-profit membership organization|Organización de membresía sin fines de lucro|
Nuclear research|Investigación nuclear|
Obligatory Military service|Servicio militar obligatorio|
oceanography research|Investigación oceanográfica|
Office Admin|Administrador de oficina|
Office Administration|Administración de oficinas|
Oil|Aceite|
Oil & Gas|Petróleo y gas|
Oil & Gas - Non Destructive Testing|Petróleo y Gas - Ensayos No Destructivos|
Oil and Gas|Petróleo y gas|
Oil and gas |Petróleo y gas|
Oil and gas exploration|Exploración de petróleo y gas|
Oil and gas exploration |Exploración de petróleo y gas|
Oil and Gas Safety Training|Capacitación en seguridad de petróleo y gas|
Oilfield adjacent|Yacimientos petrolíferos adyacentes|
Online education|Educación en línea|
Online education startup (non-technical role)|Puesta en marcha de educación en línea (rol no técnico)|
Online learning|Aprendizaje en línea|
Operational Training|Entrenamiento Operacional|
Operations|Operaciones|
Organizational Development |Desarrollo Organizacional|
Organized Labor|Trabajo Organizado|
Outdoor industry/repair and maintenance|Industria al aire libre/reparación y mantenimiento|
Outsourced Customer Service/Tech Support Call Centre|Servicio de atención al cliente/centro de llamadas de soporte técnico subcontratado|
Outsourcing Services |Servicios de Outsourcing|
Paid student intern in Tech|Estudiante en prácticas remunerado en Tecnología|
parking |aparcamiento|
Parks and recreation, land management but with customer service included|Parques y recreación, administración de tierras pero con servicio al cliente incluido|
Patent translation|Traducción de patentes|
Payment Processing|Procesamiento de pagos|
Payroll Software|Software de nómina|
Pension Benefit Administration|Administración de Beneficios de Pensión|
Per Sitter|Por niñera|
Performing Arts|Artes escénicas|
Pest Control|Control de plagas|
Pet|Mascota|
Pet Care|Cuidado de mascotas|
Pet care industry |Industria del cuidado de mascotas|
Pet care industry (dog training/walking)|Industria del cuidado de mascotas (adiestramiento/paseo de perros)|
Pet care/grooming|Cuidado/aseo de mascotas|
Petroleum|Petróleo|
Pharma|Farmacéutica|
Pharma |Farmacéutica|
Pharma & Biotech|Farmacéutica y Biotecnología|
pharma / medical device design and manufacturing|Diseño y fabricación de dispositivos farmacéuticos / médicos|
Pharma R&D|Investigación y desarrollo farmacéutico|
Pharma research|Investigación farmacéutica|
Pharma/ Research|Farmacia/ Investigación|
Pharma/Biotech|Farmacéutica/Biotecnología|
Pharma/biotechnology|Farmacia/biotecnología|
Pharma/biotechnology |Farmacia/biotecnología|
Pharmaceitical manufacturing|Fabricación farmacéutica|
Pharmaceutical|Farmacéutico|
Pharmaceutical |Farmacéutico|
Pharmaceutical company |Empresa farmacéutica|
Pharmaceutical Development|Desarrollo Farmacéutico|
Pharmaceutical Industry|Industria farmacéutica|
Pharmaceutical industry |Industria farmacéutica|
Pharmaceutical Manufacturing|Fabricación farmacéutica|
Pharmaceutical Manufacturing |Fabricación farmacéutica|
Pharmaceutical R&D|Investigación y desarrollo farmacéutico|
Pharmaceutical research|Investigación farmacéutica|
Pharmaceutical research |Investigación farmacéutica|
Pharmaceutical research & development|Investigación y desarrollo farmacéutico|
Pharmaceutical research (chemist)|Investigación farmacéutica (químico)|
Pharmaceutical/Biotech|Farmacéutica/Biotecnología|
Pharmaceutical/biotechnology|Farmacéutica/biotecnología|
Pharmaceutical/Contract Research Organization|Organización de Investigación Farmacéutica/por Contrato|
Pharmaceuticals|Productos farmacéuticos|
Pharmaceuticals |Productos farmacéuticos|
Pharmaceuticals / Biotech|Farmacéutica / Biotecnología|
Pharmaceuticals R&D|Investigación y desarrollo de productos farmacéuticos|
Pharmaceuticals/Biotechnology|Productos farmacéuticos/biotecnología|
Pharmacuticals|Productos farmacéuticos|
PhD|Doctorado|
Philanthropy|Filantropía|
Philanthropy |Filantropía|
Physical sciences|Ciencias físicas|
Planning|Planificación|
Plumbing|Plomería|
Policy research|Investigación de políticas|
political campaign|Campaña política|
Political Campaigning|Campañas políticas|
Political Campaigns|Campañas políticas|
Political Consulting|Consultoría Política|
Political consulting |Consultoría política|
Political Research|Investigación Política|
Politics|Política|
Politics/Campaigns|Política/Campañas|
Politics/Government Relations|Relaciones Política/Gobierno|
Preclinical Research|Investigación preclínica|
Pre-primary education|Educación preescolar|
Print / Mail|Imprimir / Enviar por correo|
Print Distributor |Distribuidor de impresión|
Print publishing|Publicación impresa|
Printing|Imprenta|
Private company, federal contractor |Empresa privada, contratista federal|
Private Equity|Capital Privado|
Private investigator at large firm|Investigador privado en una gran empresa|
Private Sector Emergency Management|Manejo de Emergencias del Sector Privado|
Probiotics|Probióticos|
Procurement|Procuración|
Procurement |Procuración|
Procurement/Sourcing/Operations |Adquisiciones/Abastecimiento/Operaciones|
Product Management|Gestión de productos|
Production and Manufacturing|Producción y fabricación|
Professional Association |Asociación profesional|
Professional Association in Finance|Asociación Profesional de Finanzas|
Professional Public Librarian|Bibliotecario Público Profesional|
Professional regulation|Regulación profesional|
Professional services|Servicios profesionales|
Professional services |Servicios profesionales|
Professional services / architecture |Servicios profesionales / arquitectura|
Professional training|Formación profesional|
Program management |Gestión de programas|
project management|gestión de proyectos|
project management |gestión de proyectos|
Property Management|Administración de Propiedades|
Property or Construction|Propiedad o Construcción|
Protective coatings|Recubrimientos protectores|
Psychologist|Psicólogo|
Psychology|Psicología|
Public affairs / PR |Relaciones públicas / Relaciones públicas|
Public health|Salud pública|
Public health |Salud pública|
Public health (not medical)|Salud pública (no médica)|
Public health in higher education|La salud pública en la educación superior|
Public Health Research|Investigación en Salud Pública|
Public Health- state level|Salud Pública- nivel estatal|
Public Health, local government|Salud Pública, gobierno local|
Public Librarian|Bibliotecario Público|
Public Libraries|Bibliotecas Públicas|
public libraries |Bibliotecas públicas|
Public Library|Biblioteca pública|
Public library |Biblioteca pública|
Public Library (might be considered Government, but that always seems an odd designation...)|Biblioteca Pública (podría considerarse Gobierno, pero siempre parece una designación extraña...)|
Public Library (Non-profit, but also government?)|Biblioteca Pública (¿Sin fines de lucro, pero también gubernamental?)|
Public Library (technically City Govt.?) |Biblioteca Pública (técnicamente Gobierno de la Ciudad)|
Public Opinion Research|Investigación de Opinión Pública|
Public Policy|Política pública|
Public safety|Seguridad pública|
Public safety |Seguridad pública|
Public/Environmental Health|Salud Pública/Ambiental|
Public/Research Library|Biblioteca Pública/de Investigación|
Publications|Publicaciones|
Publishibg|Publishibg|
Publishing|Editorial|
Publishing |Editorial|
Publishing (academic)|Publicaciones (académicas)|
Publishing (book)|Publicación (libro)|
Publishing, content as a service|Publicación, contenido como servicio|
publishing/edtech|Editorial/Edtech|
Publishing: Science, Academic, Technical |Publicación: Científica, Académica, Técnica|
Purchasing|Adquisitivo|
Purchasing |Adquisitivo|
Quality Assurance|Garantía de calidad|
Quality Assurance Laboratory |Laboratorio de Aseguramiento de la Calidad|
R&D|I+D|
R&D in Manufacturing|R&D en Manufactura|
Real Estate|Bien inmueble|
real estate |bien inmueble|
Real Estate / Housing|Bienes Raíces / Vivienda|
Real Estate Affordable Housing|Bienes Raíces Vivienda Asequible|
Real Estate Association |Asociación de Bienes Raíces|
Real Estate Corp. Office/not a Realtor|Oficina de Real Estate Corp./no es un agente de bienes raíces|
Real Estate customer care|Atención al cliente inmobiliario|
Real Estate Development|Desarrollo Inmobiliario|
Real Estate Investment|Inversión Inmobiliaria|
Real Estate Investment Support|Apoyo a la inversión inmobiliaria|
Real estate servicea|Servicio inmobiliarioa|
Real estate services|Servicios inmobiliarios|
Real estate software|Software inmobiliario|
Real Estate Title Company|Compañía de Títulos de Bienes Raíces|
Real estate valuation|Valoración inmobiliaria|
Real Estate/ Mortgage |Bienes Raíces/ Hipoteca|
Real Estate/Development|Bienes Raíces/Desarrollo|
Real estate: title & escrow|Bienes raíces: título y depósito en garantía|
Real World Evidence (data for pharma research)|Evidencia del mundo real (datos para la investigación farmacéutica)|
Recruitment or HR|Reclutamiento o RRHH|
Regulatory Affairs|Asuntos Regulatorios|
Regulatory Affairs- nutraceuticals |Asuntos Regulatorios- Nutracéuticos|
Religion|Religión|
Religion |Religión|
Religion/church|Religión/iglesia|
Religious|Religioso|
Religious (church)|Religioso (iglesia)|
Religious (synagogue)|Religiosos (sinagoga)|
religious educator|Educador religioso|
Religious institute|Instituto religioso|
Religious institution|Institución religiosa|
Renewable energy|Energía renovable|
Renewable Energy |Energía renovable|
Renewable Energy Development|Desarrollo de Energías Renovables|
Renewable fuels|Combustibles renovables|
Repair facility for heavy duty trucks|Instalación de reparación para camiones pesados|
Research|Investigación|
Research |Investigación|
Research - academic|Investigación - académica|
Research - Public Health|Investigación - Salud Pública|
Research & Development|Investigación y desarrollo|
Research & Development |Investigación y desarrollo|
Research & Development (Defense Industry)|Investigación y Desarrollo (Industria de Defensa)|
Research & Development (Physical Sciences)|Investigación y Desarrollo (Ciencias Físicas)|
Research (health)|Investigación (salud)|
Research / Gov|Investigación / Gobierno|
Research Administration|Administración de la investigación|
Research and development|Investigación y desarrollo|
Research and Development Academia|Academia de Investigación y Desarrollo|
Research and Development, Food and Beverage |Investigación y Desarrollo, Alimentos y Bebidas|
Research and Evaluation|Investigación y Evaluación|
Research at a National Laboratory|Investigación en un laboratorio nacional|
Research at a State University|Investigación en una universidad estatal|
Research Institute|Instituto de Investigación|
Research science|Ciencia de la investigación|
Research Scientist, Pharma|Investigador Científico, Farmacia|
Research/Academia|Investigación/Academia|
Research/Social Science|Investigación/Ciencias Sociales|
Restaurant|Restaurante|
Restaurant |Restaurante|
Restaurant Group |Grupo de Restaurantes|
Restaurant/Food Service|Restaurante/Servicio de Comida|
Restaurant/Service|Restaurante/Servicio|
Restaurants & Hospitality|Restaurantes y Hospitalidad|
restoration|restauración|
Retail|Venta al por menor|
Retail call center |Centro de llamadas para minoristas|
Retail mid level management|Gerencia de nivel medio minorista|
Retail pharmacy|Farmacia minorista|
Retail real estate|Bienes raíces comerciales|
Retired|Jubilado|
Rideshare|Viajes compartidos|
Rural electrification|Electrificación rural|
Saas|SaaS|
Saas company/software|Empresa/software SaaS|
Sailing Instructor|Instructor de Vela|
Sales|Ventas|
Sales |Ventas|
Sales Operations|Operaciones de Ventas|
Sales Operations |Operaciones de Ventas|
School District Pre-K-12|Distrito Escolar Pre-K-12|
Science|Ciencia|
Science |Ciencia|
Science - QC lab|Ciencia - Laboratorio de control de calidad|
Science (Chemistry R&D)|Ciencia (Investigación y Desarrollo en Química)|
Science (Laboratory)|Ciencia (Laboratorio)|
Science (Research, Biology)|Ciencias (Investigación, Biología)|
Science academia|Academia de ciencias|
Science and Natural Resource Management|Ciencia y Gestión de Recursos Naturales|
Science and reasearch|Ciencia e investigación|
Science publishing|Publicaciones científicas|
Science research|Investigación científica|
Science Research, government|Investigación Científica, gobierno|
Science/Biotech |Ciencia/Biotecnología|
Science/government |Ciencia/gobierno|
Science/Research|Ciencia/Investigación|
Science/Research (Academia)|Ciencia/Investigación (Academia)|
Science/research non-academic|Ciencia/investigación no académica|
Sciences|Ciencias|
Scientific|Científico|
Scientific analysis|Análisis científico|
Scientific publishing|Publicaciones científicas|
Scientific R&D|Investigación y Desarrollo Científico|
Scientific research|Investigación científica|
Scientific Research |Investigación científica|
Scientific research (industry) |Investigación científica (industria)|
Scientist|Científico|
Security|Seguridad|
Security and manufacturing company|Empresa de seguridad y fabricación|
Service|Servicio|
Service and repair|Servicio y reparación|
Shared office space|Espacio de oficina compartido|
Sign Language Interpreter, Community|Intérprete de Lenguaje de Señas, Comunidad|
Skilled trade |Oficio especializado|
Small business/service company|Pequeña empresa/empresa de servicios|
Social networks|Redes sociales|
Social Research|Investigación Social|
Social science |Ciencias sociales|
social science research - not quite academia, not quite nonprofit, not quite consulting|Investigación en ciencias sociales: no del todo académica, no del todo sin fines de lucro, no del todo de consultoría|
Social sciences research|Investigación en ciencias sociales|
Social Work|Trabajo social|
Soft Drinks Manufacturing |Fabricación de refrescos|
Software|Software|
Software as a Service SaaS|Software como servicio SaaS|
Software Development|Desarrollo de Software|
Software Development / IT|Desarrollo de Software / TI|
Software Products|Productos de software|
Software/programming|Software/programación|
Soldier|Soldado|
Sourcing & Procurement|Abastecimiento y Adquisiciones|
Space|Espacio|
Special Collections Library|Biblioteca de Colecciones Especiales|
Specialist clothing|Ropa especializada|
Specialist policy consulting/research|Consultoría/investigación especializada en políticas|
Sports|Deportivo|
Staffing & workforce solutions |Soluciones de dotación de personal y fuerza laboral|
Staffing agency|Agencia de empleo|
Staffing Firm|Empresa de dotación de personal|
Staffing Industrry|Dotación de personal industrial|
State and federal contractor|Contratista estatal y federal|
State DOT|DOT del Estado|
State-level public transportation agency|Agencia estatal de transporte público|
Stay-at-home parent|Padre que se queda en casa|
STEM medical research|Investigación médica STEM|
STEM research|Investigación STEM|
Storage Facility |Instalación de almacenamiento|
Strategy|Estrategia|
strategy consulting|Consultoría estratégica|
Student|Estudiante|
Student |Estudiante|
student paid intern in computing|Estudiante en pasante remunerado en informática|
Subsidized Seniors Housing|Vivienda Subsidiada para Personas Mayores|
Summer camp|Campamento de verano|
Supply chain|Cadena de suministro|
Supply Chain Distribution |Distribución de la cadena de suministro|
Supply Chain Operations|Operaciones de la cadena de suministro|
Supply Chain!|¡Cadena de suministro!|
Survey methodology|Metodología de la encuesta|
Survey Research/Public Policy Research|Investigación de encuestas/Investigación de políticas públicas|
Surveying|Topografía|
Surveying |Topografía|
Synthetic Chemical Manufacturing|Fabricación de productos químicos sintéticos|
Tabletop Games Publishing|Publicación de juegos de mesa|
Tabletop Gaming|Juegos de mesa|
Tailoring Service|Servicio de sastrería|
Tech|Tecnología|
Technical writing|Redacción técnica|
Technical/Cybersecurity|Técnico/Ciberseguridad|
Technical/IT|Técnico/Informático|
Technology|Tecnología|
Technology |Tecnología|
technology/SaaS|tecnología/SaaS|
Telecommunications|Telecomunicaciones|
Telecommunications |Telecomunicaciones|
Telecommunications (GPS)|Telecomunicaciones (GPS)|
Textbook Copyeditor|Corrector de estilo de libros de texto|
Theatre|Teatro|
Think tank|Tanque de pensamiento|
Third sector/non profit - medical membership in UK|Tercer sector/sin fines de lucro: membresía médica en el Reino Unido|
TIC (Testing, Inspection & Certification)|TIC (Pruebas, Inspección y Certificación)|
Title/Real Estate |Título/Bienes Raíces|
Tourism|Turismo|
Tourism/Heritage -- but for a government building|Turismo/Patrimonio, pero para un edificio gubernamental|
Toxicology|Toxicología|
Trade Association|Asociación Comercial|
trade association/membership|Asociación Comercial/Membresía|
Trade Associations|Asociaciones Comerciales|
Trades (Supply Chain) Oil and Gas|Oficios (Cadena de suministro) Petróleo y gas|
Training|Adiestramiento|
Training and Professional Services|Capacitación y Servicios Profesionales|
Translation|Traducción|
Translation |Traducción|
Translation and Localization|Traducción y localización|
Translation/transcription|Traducción/transcripción|
Transport or Logistics|Transporte o Logística|
Travel|Viajar|
Travel |Viajar|
Undergrad student|Estudiante de pregrado|
Union/political organizing |Organización sindical/política|
Unions|Uniones|
University administration|Administración universitaria|
University libraries|Bibliotecas universitarias|
University research|Investigación universitaria|
University tech transfer (higher ed/marketing/writing)|Transferencia de tecnología universitaria (educación superior/marketing/redacción)|
Urban Planning|Planificación urbana|
User Experience (UX) Research|Investigación de experiencia de usuario (UX)|
User Experience Design|Diseño de Experiencia de Usuario|
Utilities & Telecommunications|Servicios Públicos y Telecomunicaciones|
UX Research |Investigación de UX|
Vet|Veterinario|
Veterinarian|Veterinario|
Veterinary|Veterinario|
Veterinary |Veterinario|
veterinary biotech|Biotecnología veterinaria|
Veterinary Care|Atención Veterinaria|
Veterinary Diagnostics|Diagnóstico Veterinario|
Veterinary m&a|Fusiones y adquisiciones veterinarias|
Veterinary medicine|Medicina veterinaria|
Veterinary services|Servicios veterinarios|
Video Game Industry|Industria de los videojuegos|
Video Games|Videojuegos|
Virtual Assisting |Asistencia virtual|
Virtual reality|Realidad virtual|
Warehouse|Almacén|
Warehouse |Almacén|
Warehouse- Food and Beverage |Almacén- Alimentos y Bebidas|
Warehousing|Almacenamiento|
Warehousing |Almacenamiento|
Waste and recycling|Residuos y reciclaje|
Waste Management |Gestión de residuos|
Wealth advisor Research|Asesor patrimonial Investigación|
Wherever I'm assigned via the union|Dondequiera que me asignen a través del sindicato|
Wholesale|Venta al por mayor|
Wholesale - Apparel|Venta al por mayor - Ropa|
Wholesale and retail trade|Comercio al por mayor y al por menor|
wholesale distribution|Distribución al por mayor|
Wholesale Distribution B2B|Distribución Mayorista B2B|
Wholesale Industrial & Welding Supplies & Equipment|Venta al por mayor de suministros y equipos industriales y de soldadura|
Wholesale supplier |Proveedor mayorista|
Wholesale textile manufacture and sales|Fabricación y venta de textiles al por mayor|
Wholesale Trade|Comercio al por mayor|
Wholesale/Distrbution|Venta al por mayor/distribución|
Wine|Vino|
Wine & Spirits|Vinos y licores|
Wine Importing/Distribution|Importación/Distribución de Vino|
Wine Wholesale|Venta al por mayor de vino|
Winery regulatory compliance |Cumplimiento normativo de la bodega|
Workforce development |Desarrollo de la fuerza laboral|
Work-Study|Trabajo-Estudio|
Writing and journalism |Escritura y periodismo|
Zoo|Zoo|
Zoos and Aquariums|Zoológicos y acuarios|
